# NFL spread data
('2010-10-04T00:20:00.000000', u'NYG', u'CHI', 14.0)
('2010-10-05T00:30:00.000000', u'MIA', u'NE', -27.0)
('2010-10-10T17:00:00.000000', u'BAL', u'DEN', 14.0)
('2010-10-10T17:00:00.000000', u'BUF', u'JAC', -10.0)
('2010-10-10T17:00:00.000000', u'CAR', u'CHI', -17.0)
('2010-10-10T17:00:00.000000', u'CIN', u'TB', -3.0)
('2010-10-10T17:00:00.000000', u'CLE', u'ATL', -10.0)
('2010-10-10T17:00:00.000000', u'DET', u'LAR', 38.0)
('2010-10-10T17:00:00.000000', u'HOU', u'NYG', -24.0)
('2010-10-10T17:00:00.000000', u'IND', u'KC', 10.0)
('2010-10-10T17:00:00.000000', u'WAS', u'GB', 3.0)
('2010-10-10T20:05:00.000000', u'ARI', u'NO', 10.0)
('2010-10-10T20:15:00.000000', u'DAL', u'TEN', -7.0)
('2010-10-10T20:15:00.000000', u'OAK', u'LAC', 8.0)
('2010-10-11T00:20:00.000000', u'SF', u'PHI', -3.0)
('2010-10-12T00:30:00.000000', u'NYJ', u'MIN', 9.0)
('2010-10-17T17:00:00.000000', u'CHI', u'SEA', -3.0)
('2010-10-17T17:00:00.000000', u'GB', u'MIA', -3.0)
('2010-10-17T17:00:00.000000', u'HOU', u'KC', 4.0)
('2010-10-17T17:00:00.000000', u'LAR', u'LAC', 3.0)
('2010-10-17T17:00:00.000000', u'NE', u'BAL', 3.0)
('2010-10-17T17:00:00.000000', u'NYG', u'DET', 8.0)
('2010-10-17T17:00:00.000000', u'PHI', u'ATL', 14.0)
('2010-10-17T17:00:00.000000', u'PIT', u'CLE', 18.0)
('2010-10-17T17:00:00.000000', u'TB', u'NO', -25.0)
('2010-10-17T20:05:00.000000', u'DEN', u'NYJ', -4.0)
('2010-10-17T20:05:00.000000', u'SF', u'OAK', 8.0)
('2010-10-17T20:15:00.000000', u'MIN', u'DAL', 3.0)
('2010-10-18T00:20:00.000000', u'WAS', u'IND', -3.0)
('2010-10-19T00:30:00.000000', u'JAC', u'TEN', -27.0)
('2010-10-24T17:00:00.000000', u'ATL', u'CIN', 7.0)
('2010-10-24T17:00:00.000000', u'BAL', u'BUF', 3.0)
('2010-10-24T17:00:00.000000', u'CAR', u'SF', 3.0)
('2010-10-24T17:00:00.000000', u'CHI', u'WAS', -3.0)
('2010-10-24T17:00:00.000000', u'KC', u'JAC', 22.0)
('2010-10-24T17:00:00.000000', u'MIA', u'PIT', -1.0)
('2010-10-24T17:00:00.000000', u'NO', u'CLE', -13.0)
('2010-10-24T17:00:00.000000', u'TB', u'LAR', 1.0)
('2010-10-24T17:00:00.000000', u'TEN', u'PHI', 18.0)
('2010-10-24T20:05:00.000000', u'SEA', u'ARI', 12.0)
('2010-10-24T20:15:00.000000', u'DEN', u'OAK', -45.0)
('2010-10-24T20:15:00.000000', u'LAC', u'NE', -3.0)
('2010-10-25T00:20:00.000000', u'GB', u'MIN', 4.0)
('2010-10-26T00:30:00.000000', u'DAL', u'NYG', -6.0)
('2010-10-31T17:00:00.000000', u'CIN', u'MIA', -8.0)
('2010-10-31T17:00:00.000000', u'DAL', u'JAC', -18.0)
('2010-10-31T17:00:00.000000', u'DET', u'WAS', 12.0)
('2010-10-31T17:00:00.000000', u'KC', u'BUF', 3.0)
('2010-10-31T17:00:00.000000', u'LAR', u'CAR', 10.0)
('2010-10-31T17:00:00.000000', u'NYJ', u'GB', -9.0)
('2010-10-31T17:00:00.000000', u'SF', u'DEN', 8.0)
('2010-10-31T20:05:00.000000', u'LAC', u'TEN', 8.0)
('2010-10-31T20:15:00.000000', u'ARI', u'TB', -3.0)
('2010-10-31T20:15:00.000000', u'NE', u'MIN', 10.0)
('2010-10-31T20:15:00.000000', u'OAK', u'SEA', 30.0)
('2010-11-01T00:20:00.000000', u'NO', u'PIT', 10.0)
('2010-11-02T00:30:00.000000', u'IND', u'HOU', 13.0)
('2010-11-07T18:00:00.000000', u'ATL', u'TB', 6.0)
('2010-11-07T18:00:00.000000', u'BAL', u'MIA', 16.0)
('2010-11-07T18:00:00.000000', u'BUF', u'CHI', -3.0)
('2010-11-07T18:00:00.000000', u'CAR', u'NO', -31.0)
('2010-11-07T18:00:00.000000', u'CLE', u'NE', 20.0)
('2010-11-07T18:00:00.000000', u'DET', u'NYJ', -3.0)
('2010-11-07T18:00:00.000000', u'HOU', u'LAC', -6.0)
('2010-11-07T18:00:00.000000', u'MIN', u'ARI', 3.0)
('2010-11-07T21:05:00.000000', u'SEA', u'NYG', -34.0)
('2010-11-07T21:15:00.000000', u'OAK', u'KC', 3.0)
('2010-11-07T21:15:00.000000', u'PHI', u'IND', 2.0)
('2010-11-08T01:20:00.000000', u'GB', u'DAL', 38.0)
('2010-11-09T01:30:00.000000', u'CIN', u'PIT', -6.0)
('2010-11-12T01:20:00.000000', u'ATL', u'BAL', 5.0)
('2010-11-14T18:00:00.000000', u'BUF', u'DET', 2.0)
('2010-11-14T18:00:00.000000', u'CHI', u'MIN', 14.0)
('2010-11-14T18:00:00.000000', u'CLE', u'NYJ', -6.0)
('2010-11-14T18:00:00.000000', u'IND', u'CIN', 6.0)
('2010-11-14T18:00:00.000000', u'JAC', u'HOU', 7.0)
('2010-11-14T18:00:00.000000', u'MIA', u'TEN', 12.0)
('2010-11-14T18:00:00.000000', u'TB', u'CAR', 15.0)
('2010-11-14T21:05:00.000000', u'DEN', u'KC', 20.0)
('2010-11-14T21:15:00.000000', u'ARI', u'SEA', -18.0)
('2010-11-14T21:15:00.000000', u'NYG', u'DAL', -13.0)
('2010-11-14T21:15:00.000000', u'SF', u'LAR', 3.0)
('2010-11-15T01:20:00.000000', u'PIT', u'NE', -13.0)
('2010-11-16T01:30:00.000000', u'WAS', u'PHI', -31.0)
('2010-11-19T01:20:00.000000', u'MIA', u'CHI', -16.0)
('2010-11-21T18:00:00.000000', u'CAR', u'BAL', -24.0)
('2010-11-21T18:00:00.000000', u'CIN', u'BUF', -18.0)
