# date, home, score, away, score
2011-10-23 NYJ 27 LAC 21
2011-10-23 TEN  7 HOU 41
2011-10-23 DET 16 ATL 23
2011-10-23 CAR 33 WAS 20
2011-10-23 TB  18 CHI 24
2011-10-23 CLE  6 SEA  3
2011-10-23 ARI 20 PIT 32
2011-10-23 OAK  0 KC  28
2011-10-23 MIN 27 GB  33
2011-10-23 DAL 34 LAR  7
2011-10-23 NO  62 IND  7
2011-10-24 JAC 12 BAL  7
2011-10-30 NYG 20 MIA 17
2011-10-30 HOU 24 JAC 14
2011-10-30 TEN 27 IND 10
2011-10-30 CAR 21 MIN 24
2011-10-30 LAR 31 NO  21
2011-10-30 BAL 30 ARI 27
2011-10-30 DEN 10 DET 45
2011-10-30 BUF 23 WAS  0
2011-10-30 PIT 25 NE  17
2011-10-30 SF  20 CLE 10
2011-10-30 SEA 12 CIN 34
2011-10-30 PHI 34 DAL  7
2011-10-31 KC  23 LAC 20
2011-11-06 BUF 11 NYJ 27
2011-11-06 HOU 30 CLE 12
2011-11-06 KC   3 MIA 31
2011-11-06 DAL 23 SEA 13
2011-11-06 WAS 11 SF  19
2011-11-06 NO  27 TB  16
2011-11-06 IND  7 ATL 31
2011-11-06 OAK 24 DEN 38
2011-11-06 TEN 17 CIN 24
2011-11-06 NE  20 NYG 24
2011-11-06 LAC 38 GB  45
2011-11-06 ARI 19 LAR 13
2011-11-06 PIT 20 BAL 23
2011-11-07 PHI 24 CHI 30
2011-11-10 LAC 17 OAK 24
2011-11-13 DAL 44 BUF  7
2011-11-13 CAR  3 TEN 30
2011-11-13 TB   9 HOU 37
2011-11-13 CIN 17 PIT 24
2011-11-13 IND  3 JAC 17
2011-11-13 KC  10 DEN 17
2011-11-13 PHI 17 ARI 21
2011-11-13 ATL 23 NO  26
2011-11-13 MIA 20 WAS  9
2011-11-13 CLE 12 LAR 13
2011-11-13 SEA 22 BAL 17
2011-11-13 CHI 37 DET 13
2011-11-13 SF  27 NYG 20
2011-11-13 NYJ 16 NE  37
2011-11-14 GB  45 MIN  7
2011-11-17 DEN 17 NYJ 13
2011-11-20 MIN 21 OAK 27
2011-11-20 MIA 35 BUF  8
2011-11-20 CLE 14 JAC 10
2011-11-20 BAL 31 CIN 24
2011-11-20 WAS 24 DAL 27
2011-11-20 DET 49 CAR 35
2011-11-20 GB  35 TB  26
2011-11-20 SF  23 ARI  7
2011-11-20 LAR  7 SEA 24
2011-11-20 ATL 23 TEN 17
2011-11-20 CHI 31 LAC 20
2011-11-20 NYG 10 PHI 17
2011-11-21 NE  34 KC   3
2011-11-24 DET 15 GB  27
2011-11-24 DAL 20 MIA 19
2011-11-24 BAL 16 SF   6
2011-11-27 NYJ 28 BUF 24
2011-11-27 CIN 23 CLE 20
2011-11-27 JAC 13 HOU 20
2011-11-27 ATL 24 MIN 14
2011-11-27 LAR 20 ARI 23
2011-11-27 IND 19 CAR 27
2011-11-27 TEN 23 TB  17
2011-11-27 SEA 17 WAS 23
2011-11-27 OAK 25 CHI 20
2011-11-27 PHI 20 NE  38
2011-11-27 LAC 13 DEN 16
2011-11-27 KC   9 PIT 13
2011-11-28 NO  49 NYG 24
2011-12-01 SEA 31 PHI 14
2011-12-04 WAS 19 NYJ 34
2011-12-04 CHI  3 KC  10
2011-12-04 BUF 17 TEN 23
2011-12-04 MIA 34 OAK 14
2011-12-04 PIT 35 CIN  7
2011-12-04 TB  19 CAR 38
2011-12-04 HOU 17 ATL 10
2011-12-04 MIN 32 DEN 35
2011-12-04 NE  31 IND 24
2011-12-04 CLE 10 BAL 24
